1946, cec pelicula, Los últimos de Filipinas, Antonio Román, 
1947, cec pelicula, Un drama nuevo, Juan de Orduña, 
1948, cec pelicula, La princesa de los Ursinos, Luis Lucia, 
1949, cec pelicula, Locura de amor, Juan de Orduña, 
1950, cec pelicula, La mies es mucha, José Luis Sáenz de Heredia, 
1951, cec pelicula, Agustina de Aragón, Juan de Orduña, 
1952, cec pelicula, Surcos, José Antonio Nieves Conde, 
1953, cec pelicula, Los ojos dejan huellas, José Luis Sáenz de Heredia, 
1954, cec pelicula, Jeromín, Luis Lucia, 
1955, cec pelicula, Sierra maldita, Antonio del Amo, 
1956, cec pelicula, Marcelino, pan y vino, Ladislao Vajda, 
1957, cec pelicula, Tarde de toros, Ladislao Vajda, 
1958, cec pelicula, ...Y eligió el infierno, César Fernández Ardavín, 
1959, cec pelicula, La vida por delante, Fernando Fernán Gómez, 
1960, cec pelicula, El Lazarillo de Tormes, César Fernández Ardavín, 
1961, cec pelicula, El príncipe encadenado, Luis Lucia, 
1962, cec pelicula, Plácido, Luis García Berlanga, 
1963, cec pelicula, Dulcinea, Vicente Escrivá, 
1964, cec pelicula, Los Tarantos, Francisco Rovira-Beleta, 
1965, cec pelicula, La tía Tula, Miguel Picazo, 
1966, cec pelicula, Campanadas a medianoche, Orson Welles, 
1967, cec pelicula, La caza, Carlos Saura, 
1968, cec pelicula, Peppermint frappé, Carlos Saura, 
1969, cec pelicula, Las Vegas, 500 millones, Antonio Isasi, 
1970, cec pelicula, El extraño viaje, Fernando Fernán Gómez, 
1971, cec pelicula, Tristana, Luis Buñuel, 
1972, cec pelicula, Españolas en París, Roberto Bodegas, 
1974, cec pelicula, El espíritu de la colmena, Víctor Erice, 
1975, cec pelicula, Hay que matar a B., José Luis Borau, 
1976, cec pelicula, Furtivos, José Luis Borau, 
1977, cec pelicula, El desencanto, Jaime Chávarri, 
1978, cec pelicula, A un dios desconocido, Jaime Chávarri, 
1979, cec pelicula, La escopeta nacional, Luis García Berlanga, 
1980, cec pelicula, Mamá cumple cien años, Carlos Saura, 
1982, cec pelicula, Bodas de sangre, Carlos Saura, 
1983, cec pelicula, La colmena, Mario Camus, 
1984, cec pelicula, Carmen, Carlos Saura, 
1985, cec pelicula, Los santos inocentes, Mario Camus, 
1991, cec pelicula, Innisfree, José Luis Guerín, 
1992, cec pelicula, Las cartas de Alou, Montxo Armendáriz, 
1993, cec pelicula, El maestro de esgrima, Pedro Olea, 
1994, cec pelicula, Sombras en una batalla, Mario Camus, 
1995, cec pelicula, Canción de cuna, José Luis Garci, 
1996, cec pelicula, Nadie hablará de nosotras cuando hayamos muerto, Agustín Díaz Yanes, 
1997, cec pelicula, El último viaje de Robert Rylands, Gracia Querejeta, 
1998, cec pelicula, Secretos del corazón, Montxo Armendáriz, 
1999, cec pelicula, El abuelo, José Luis Garci, 
2000, cec pelicula, Solas, Benito Zambrano, 
2001, cec pelicula, El Bola, Achero Mañas, 
2002, cec pelicula, En construcción, José Luis Guerín, 
2003, cec pelicula, Los lunes al sol, Fernando León de Aranoa, 
2004, cec pelicula, Te doy mis ojos, Icíar Bollaín, 
2005, cec pelicula, Héctor, Gracia Querejeta, 
2006, cec pelicula, La vida secreta de las palabras, Isabel Coixet, 
2007, cec pelicula, Volver, Pedro Almodóvar, 
2008, cec pelicula, Siete mesas de billar francés, Gracia Querejeta, 
2009, cec pelicula, Casual Day, Max Lemcke, 
2010, cec pelicula, Celda 211, Daniel Monzón, 
2011, cec pelicula, También la lluvia, Icíar Bollaín, 
2012, cec pelicula, No habrá paz para los malvados, Enrique Urbizu, 
2013, cec pelicula, Blancanieves, Pablo Berger, 
2014, cec pelicula, Vivir es fácil con los ojos cerrados, David Trueba, 
2015, cec pelicula, La isla mínima, Alberto Rodríguez, 
2016, cec pelicula, Truman, Cesc Gay, 
2017, cec pelicula, Tarde para la ira, Raúl Arévalo, 
2018, cec pelicula, La librería, Isabel Coixet, 
2019, cec pelicula, El reino, Rodrigo Sorogoyen, 
1946, cec director, , , Antonio Román
1947, cec director, , , Juan de Orduña
1948, cec director, , , José Luis Sáenz de Heredia
1949, cec director, , , Rafael Gil
1950, cec director, , , José Luis Sáenz de Heredia
1951, cec director, , , José Luis Sáenz de Heredia
1952, cec director, , , José Antonio Nieves Conde
1953, cec director, , , José Luis Sáenz de Heredia
1954, cec director, , , Luis Lucia
1955, cec director, , , César Fernández Ardavín
1956, cec director, , , Ladislao Vajda
1957, cec director, , , Ladislao Vajda
1958, cec director, , , César Fernández Ardavín
1959, cec director, , , Julio Coll
1960, cec director, , , César Fernández Ardavín
1961, cec director, , , Luis Lucia
1962, cec director, , , Luis García Berlanga
1963, cec director, , , Julio Coll
1964, cec director, , , José Antonio Nieves Conde
1965, cec director, , , Miguel Picazo
1966, cec director, , , Antonio Isasi-Isasmendi
1967, cec director, , , Angelino Fons
1968, cec director, , , Miguel Picazo
1969, cec director, , , Antonio Isasi-Isasmendi
1970, cec director, , , Carlos Saura
