2014, feroz drama, Stockholm, Rodrigo Sorogoyen, 
2015, feroz drama, La isla mínima, Alberto Rodriguez, 
2016, feroz drama, La novia, Paula Ortiz, 
2017, feroz drama, Tarde para la ira, Raúl Arévalo, 
2018, feroz drama, Verano 1993, Carla Simón, 
2019, feroz drama, El reino, Rodrigo Sorogoyen, 
2020, feroz drama, Dolor y gloria, Pedro Almodóvar, 
2021, feroz drama, Las niñas, Pilar Palomero, 
2014, feroz comedia, 3 bodas de más, Javier Ruiz Caldera, 
2015, feroz comedia, Carmina y amén, Paco León, 
2016, feroz comedia, Negociador, Borja Cobeaga, 
2017, feroz comedia, Kiki, el amor se hace, Paco León, 
2018, feroz comedia, La llamada, Javier Ambrossi y Javier Calvo, 
2019, feroz comedia, Campeones, Javier Fesser, 
2020, feroz comedia, Ventajas de viajar en tren, Aritz Moreno, 
2021, feroz comedia, La boda de Rosa, Iciar Bollain, 
2014, feroz director, , , David Trueba
2015, feroz director, , , Alberto Rodríguez
2016, feroz director, , , Paula Ortiz
2017, feroz director, , , Raul Arévalo
2018, feroz director, , , Carla Simón
2019, feroz director, , , Rodrigo Sorogoyen
2020, feroz director, , , Pedro Almodóvar
2021, feroz director, , , Pilar Palomero
