1986, goya, El viaje a ninguna parte, Fernando Fernán Gómez, Fernando Fernán Gómez
1987, goya, El bosque animado, José Luis Cuerda, José Luis Garci
1988, goya, Mujeres al borde de un ataque de nervios, Pedro Almodóvar, Gonzalo Suárez
1989, goya, El sueño del mono loco, Fernando Trueba, Fernando Trueba
1990, goya, ¡Ay, Carmela!, Carlos Saura, Carlos Saura
1991, goya, Amantes, Vicente Aranda, Vicente Aranda
1992, goya, Belle Époque, Fernando Trueba, Fernando Trueba
1993, goya, Todos a la cárcel, Luis García Berlanga, Luis García Berlanga
1994, goya, Días contados, Imanol Uribe, Imanol Uribe
1995, goya, Nadie hablará de nosotras cuando hayamos muerto, Agustín Díaz Yanes, Álex de la Iglesia
1996, goya, Tesis, Alejandro Amenábar, Pilar Miró
1997, goya, La buena estrella, Ricardo Franco, Ricardo Franco
1998, goya, La niña de tus ojos, Fernando Trueba, Fernando León de Aranoa
1999, goya, Todo sobre mi madre, Pedro Almodóvar, Pedro Almodóvar
2000, goya, El Bola, Achero Mañas, José Luis Borau
2001, goya, Los otros, Alejandro Amenábar, Alejandro Amenábar
2002, goya, Los lunes al sol, Fernando León de Aranoa, Fernando León de Aranoa
2003, goya, Te doy mis ojos, Icíar Bollaín, Icíar Bollaín
2004, goya, Mar adentro, Alejandro Amenábar, Alejandro Amenábar
2005, goya, La vida secreta de las palabras, Isabel Coixet, Isabel Coixet
2006, goya, Volver, Pedro Almodóvar, Pedro Almodóvar
2007, goya, La soledad, Jaime Rosales, Jaime Rosales
2008, goya, Camino, Javier Fesser, Javier Fesser
2009, goya, Celda 211, Daniel Monzón, Daniel MonzónMar Coll
2010, goya, Pa negre (Pan negro), Agustí Villaronga, Agustí Villaronga
2011, goya, No habrá paz para los malvados, Enrique Urbizu, Enrique Urbizu
2012, goya, Blancanieves, Pablo Berger, Juan Antonio Bayona
2013, goya, Vivir es fácil con los ojos cerrados, David Trueba, David Trueba
2014, goya, La isla mínima, Alberto Rodríguez, Alberto Rodríguez
2015, goya, Truman, Cesc Gay, Cesc Gay
2016, goya, Tarde para la ira, Raúl Arévalo, Juan Antonio Bayona
2017, goya, La librería, Isabel Coixet, Isabel Coixet
2018, goya, Campeones, Javier Fesser, Rodrigo Sorogoyen
2019, goya, Dolor y gloria, Pedro Almodóvar, Pedro Almodóvar
2020, goya, Las niñas, Pilar Palomero, Salvador Calvo
