2015, turia pelicula, La isla mínima, Alberto Rodríguez, 
2014, turia pelicula, La herida, Fernando Franco, 
2013, turia pelicula, El artista y la modelo, Fernando Trueba, 
2012, turia pelicula, No habrá paz para los malvados, Enrique Urbizu, 
2011, turia pelicula, Pa negre, Agustí Villaronga, 
2010, turia pelicula, Celda 211, Daniel Monzón, 
2009, turia pelicula, Los girasoles ciegos, José Luis Cuerda, 
2008, turia pelicula, Mataharis, Icíar Bollaín, 
2007, turia pelicula, Ficción, Cesc Gay, 
2006, turia pelicula, La vida secreta de las palabras, Isabel Coixet, 
2006, turia pelicula, Habana Blues, Benito Zambrano, 
2005, turia pelicula, Nubes de verano, Felipe Vega, 
2004, turia pelicula, Soldados de salamina, David Trueba, 
2003, turia pelicula, Los lunes al sol, Fernando León de Aranoa, 
2002, turia pelicula, Lucía y el sexo, Julio Medem, 
2002, turia pelicula, Anita no pierde el tren, Ventura Pons, 
2001, turia pelicula, Monos como Becky, Joaquín Jordà y Nuria Villazán, 
2001, turia pelicula, Krámpack, Cesc Gay, 
2000, turia pelicula, Solas, Benito Zambrano, 
1999, turia pelicula, Los amantes del círculo polar, Julio Medem, 
1998, turia pelicula, Secretos del corazón, Montxo Armendáriz, 
1997, turia pelicula, Tierra, Julio Medem, 
1997, turia pelicula, El techo del mundo, Felipe Vega, 
1996, turia pelicula, Nadie hablará de nosotras cuando hayamos muerto, Agustín Díaz Yanes, 
1995, turia pelicula, Días contados, Imanol Uribe, 
1994, turia pelicula, El sol del membrillo, Víctor Erice, 
1993, turia pelicula, Belle epoque, Fernando Trueba, 
1992, turia pelicula, Amantes, Vicente Aranda, 
1992, turia pelicula, Innisfree, José Luis Guerín, 
