1927/28 (1st), 7th Heaven, Frank Borzage (Dramatic Picture), 1
1927/28 (1st), Sorrell and Son, Herbert Brenon (Dramatic Picture), 0
1927/28 (1st), The Crowd, King Vidor (Dramatic Picture), 0
1927/28 (1st), Two Arabian Knights, Lewis Milestone (Comedy Picture), 1
1927/28 (1st), Speedy, Ted Wilde (Comedy Picture), 0
1928/1929(2nd)[note 1], The Divine Lady, Frank Lloyd, 1
1928/1929(2nd)[note 1], Madame X, Lionel Barrymore, 0
1928/1929(2nd)[note 1], The Broadway Melody, Harry Beaumont, 0
1928/1929(2nd)[note 1], In Old Arizona, Irving Cummings, 0
1928/1929(2nd)[note 1], Drag, Frank Lloyd, 0
1928/1929(2nd)[note 1], Weary River, Frank Lloyd, 0
1928/1929(2nd)[note 1], The Patriot, Ernst Lubitsch, 0
1929/1930(3rd), All Quiet on the Western Front, Lewis Milestone, 1
1929/1930(3rd), Anna Christie, Clarence Brown, 0
1929/1930(3rd), Romance, Clarence Brown, 0
1929/1930(3rd), The Divorcee, Robert Z. Leonard, 0
1929/1930(3rd), The Love Parade, Ernst Lubitsch, 0
1929/1930(3rd), Hallelujah!, King Vidor, 0
1930/1931(4th), Skippy, Norman Taurog, 1
1930/1931(4th), A Free Soul, Clarence Brown, 0
1930/1931(4th), The Front Page, Lewis Milestone, 0
1930/1931(4th), Cimarron, Wesley Ruggles, 0
1930/1931(4th), Morocco, Josef von Sternberg, 0
1931/1932(5th), Bad Girl, Frank Borzage, 1
1931/1932(5th), The Champ, King Vidor, 0
1931/1932(5th), Shanghai Express, Josef von Sternberg, 0
1932/1933(6th), Cavalcade, Frank Lloyd, 1
1932/1933(6th), Lady for a Day, Frank Capra, 0
1932/1933(6th), Little Women, George Cukor, 0
1934(7th), It Happened One Night, Frank Capra, 1
1934(7th), One Night of Love, Victor Schertzinger, 0
1934(7th), The Thin Man, W. S. Van Dyke, 0
1935(8th), The Informer, John Ford, 1
1935(8th), The Lives of a Bengal Lancer, Henry Hathaway, 0
1935(8th), Mutiny on the Bounty, Frank Lloyd, 0
1936(9th), Mr. Deeds Goes to Town, Frank Capra, 1
1936(9th), My Man Godfrey, Gregory La Cava, 0
1936(9th), The Great Ziegfeld, Robert Z. Leonard, 0
1936(9th), San Francisco, W. S. Van Dyke, 0
1936(9th), Dodsworth, William Wyler, 0
1937(10th), The Awful Truth, Leo McCarey, 1
1937(10th), The Life of Emile Zola, William Dieterle, 0
1937(10th), The Good Earth, Sidney Franklin, 0
1937(10th), Stage Door, Gregory La Cava, 0
1937(10th), A Star Is Born, William A. Wellman, 0
1938(11th), You Can't Take It with You, Frank Capra, 1
1938(11th), Angels with Dirty Faces, Michael Curtiz, 0
1938(11th), Four Daughters, Michael Curtiz, 0
1938(11th), Boys Town, Norman Taurog, 0
1938(11th), The Citadel, King Vidor, 0
1939(12th), Gone with the Wind, Victor Fleming, 1
1939(12th), Mr. Smith Goes to Washington, Frank Capra, 0
1939(12th), Stagecoach, John Ford, 0
1939(12th), Goodbye, Mr. Chips, Sam Wood, 0
1939(12th), Wuthering Heights, William Wyler, 0
1940(13th), The Grapes of Wrath, John Ford, 1
1940(13th), The Philadelphia Story, George Cukor, 0
1940(13th), Rebecca, Alfred Hitchcock, 0
1940(13th), Kitty Foyle, Sam Wood, 0
1940(13th), The Letter, William Wyler, 0
1941(14th), How Green Was My Valley, John Ford, 1
1941(14th), Here Comes Mr. Jordan, Alexander Hall, 0
1941(14th), Sergeant York, Howard Hawks, 0
1941(14th), Citizen Kane, Orson Welles, 0
1941(14th), The Little Foxes, William Wyler, 0
1942(15th), Mrs. Miniver, William Wyler, 1
1942(15th), Yankee Doodle Dandy, Michael Curtiz, 0
1942(15th), Wake Island, John Farrow, 0
1942(15th), Random Harvest, Mervyn LeRoy, 0
1942(15th), Kings Row, Sam Wood, 0
1943(16th), Casablanca, Michael Curtiz, 1
1943(16th), The Human Comedy, Clarence Brown, 0
1943(16th), The Song of Bernadette, Henry King, 0
1943(16th), Heaven Can Wait, Ernst Lubitsch, 0
1943(16th), The More the Merrier, George Stevens, 0
1944(17th), Going My Way, Leo McCarey, 1
1944(17th), Lifeboat, Alfred Hitchcock, 0
1944(17th), Wilson, Henry King, 0
1944(17th), Laura, Otto Preminger, 0
1944(17th), Double Indemnity, Billy Wilder, 0
1945(18th), The Lost Weekend, Billy Wilder, 1
1945(18th), National Velvet, Clarence Brown, 0
1945(18th), Spellbound, Alfred Hitchcock, 0
1945(18th), The Bells of St. Mary's, Leo McCarey, 0
1945(18th), The Southerner, Jean Renoir, 0
1946(19th), The Best Years of Our Lives, William Wyler, 1
1946(19th), The Yearling, Clarence Brown, 0
1946(19th), It's a Wonderful Life, Frank Capra, 0
