title,href
A Contra Vent Editors,/wiki/A_Contra_Vent_Editors
Editorial Acantilado,/wiki/Editorial_Acantilado
Aduana Vieja,/wiki/Aduana_Vieja
Aguilar (editorial),/wiki/Aguilar_(editorial)
Ediciones Akal,/wiki/Ediciones_Akal
Editorial Alberto Martín,/wiki/Editorial_Alberto_Mart%C3%ADn
Alianza Editorial,/wiki/Alianza_Editorial
Ediciones Aljibe,/wiki/Ediciones_Aljibe
Ediciones Alpha Decay,/wiki/Ediciones_Alpha_Decay
Ediciones Altaya,/wiki/Ediciones_Altaya
Amorrortu Editores,/wiki/Amorrortu_Editores
Editorial Anagrama,/wiki/Editorial_Anagrama
Grupo Anaya,/wiki/Grupo_Anaya
Arlanza Ediciones,/wiki/Arlanza_Ediciones
Usuario:Arthur Ignatius/Taller,/wiki/Usuario:Arthur_Ignatius/Taller
Ediciones Atalanta,/wiki/Ediciones_Atalanta
Aves del Mundo,/wiki/Aves_del_Mundo
Ediciones B,/wiki/Ediciones_B
Bailly-Baillière,/wiki/Bailly-Bailli%C3%A8re
Bayard Revistas,/wiki/Bayard_Revistas
Biblioteca de Autores Cristianos,/wiki/Biblioteca_de_Autores_Cristianos
Biblioteca Nueva,/wiki/Biblioteca_Nueva
Brief Ediciones,/wiki/Brief_Ediciones
Bromera,/wiki/Bromera
Editorial Bruguera,/wiki/Editorial_Bruguera
Escuela Bruguera,/wiki/Escuela_Bruguera
Bubok,/wiki/Bubok
Caballo de Troya (editorial),/wiki/Caballo_de_Troya_(editorial)
La Caja de Pandora (editorial),/wiki/La_Caja_de_Pandora_(editorial)
Calambur Editorial,/wiki/Calambur_Editorial
Editorial Candaya,/wiki/Editorial_Candaya
Cangrejo Pistolero Ediciones,/wiki/Cangrejo_Pistolero_Ediciones
Carambuco cuentos,/wiki/Carambuco_cuentos
Ediciós do Castro,/wiki/Edici%C3%B3s_do_Castro
Cengage,/wiki/Cengage
Centro de la Cultura Popular Canaria,/wiki/Centro_de_la_Cultura_Popular_Canaria
Editorial Ciencia Nueva,/wiki/Editorial_Ciencia_Nueva
Círculo de Lectores,/wiki/C%C3%ADrculo_de_Lectores
Compañía Ibero-Americana de Publicaciones,/wiki/Compa%C3%B1%C3%ADa_Ibero-Americana_de_Publicaciones
Coordinadora de Mitjans,/wiki/Coordinadora_de_Mitjans
Cossetània,/wiki/Cosset%C3%A0nia
Proyectos Editoriales Crom,/wiki/Proyectos_Editoriales_Crom
Ediciones Cronópolis,/wiki/Ediciones_Cron%C3%B3polis
Cultura Ciclista,/wiki/Cultura_Ciclista
Dalmau Carles Pla,/wiki/Dalmau_Carles_Pla
Edicions del Bullent,/wiki/Edicions_del_Bullent
Editorial Denes,/wiki/Editorial_Denes
Desperta Ferro Ediciones,/wiki/Desperta_Ferro_Ediciones
Ediciones Destino,/wiki/Ediciones_Destino
Devir Iberia,/wiki/Devir_Iberia
Editorial Diálogo,/wiki/Editorial_Di%C3%A1logo
Difácil,/wiki/Dif%C3%A1cil
Diseños Orbitales,/wiki/Dise%C3%B1os_Orbitales
Usuario:Doc2129/Taller,/wiki/Usuario:Doc2129/Taller
Documenta Balear,/wiki/Documenta_Balear
Ediciones Dolmen,/wiki/Ediciones_Dolmen
Dos Bigotes,/wiki/Dos_Bigotes
Edelsa,/wiki/Edelsa
Edge Entertainment,/wiki/Edge_Entertainment
Ediciones Alfar,/wiki/Ediciones_Alfar
Ediciones Babylon,/wiki/Ediciones_Babylon
Ediciones Carena,/wiki/Ediciones_Carena
Ediciones Cátedra,/wiki/Ediciones_C%C3%A1tedra
Ediciones de la Universidad de Murcia,/wiki/Ediciones_de_la_Universidad_de_Murcia
Ediciones El Viso,/wiki/Ediciones_El_Viso
Ediciones Emilianenses,/wiki/Ediciones_Emilianenses
Ediciones Ibéricas,/wiki/Ediciones_Ib%C3%A9ricas
Ediciones Júcar,/wiki/Ediciones_J%C3%BAcar
Ediciones La Librería,/wiki/Ediciones_La_Librer%C3%ADa
Ediciones Mayi,/wiki/Ediciones_Mayi
